time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010462349642	48.1683	17.3192	2.74288	0.183245	-0.308164	lidar	1.805	48.1541	17.2835	48.0823	17.6063	2.6326	1.23832
1477010462349642	48.1464	17.3199	2.78427	0.196631	-0.290192	radar	0.274092	47.9331	17.5349	48.0823	17.6063	2.6326	1.23832
1477010463349642	50.6172	19.0314	2.80023	0.835771	0.425499	lidar	2.91546	50.6228	19.0721	50.7276	18.8172	2.61569	1.16454
1477010463349642	50.6245	18.9986	3.03689	0.765605	0.304873	radar	0.826591	50.5737	18.7834	50.7276	18.8172	2.61569	1.16454
1477010464349642	53.6887	19.9232	2.82887	0.048213	-0.486701	lidar	3.90108	53.7268	19.8982	53.3577	19.9486	2.59372	1.07716
1477010464349642	53.6593	19.919	2.84691	0.0677912	-0.460195	radar	0.290581	53.5277	19.862	53.3577	19.9486	2.59372	1.07716
1477010465349642	56.0549	21.0488	2.28878	0.484013	0.200706	lidar	3.34406	56.0322	21.0923	55.9669	20.9874	2.56561	0.978022
1477010465349642	56.053	21.0208	2.57444	0.448516	0.139843	radar	1.12022	55.867	20.985	55.9669	20.9874	2.56561	0.978022
1477010466349642	58.6329	21.7851	2.89199	0.213932	-0.150671	lidar	0.770706	58.6632	21.7821	58.5484	21.9225	2.53033	0.869205
1477010466349642	58.6356	21.7874	2.89587	0.214183	-0.150689	radar	0.0148154	58.5799	21.9815	58.5484	21.9225	2.53033	0.869205
1477010467349642	60.8975	22.7792	2.53835	0.419875	0.104843	lidar	0.706084	60.8722	22.7876	61.0941	22.7449	2.48697	0.753031
1477010467349642	60.8844	22.768	2.64464	0.407413	0.0865356	radar	0.439424	60.7648	22.6398	61.0941	22.7449	2.48697	0.753031
1477010468349642	63.3697	23.414	2.74586	0.201342	-0.133134	lidar	0.298228	63.3821	23.4069	63.5955	23.4479	2.43482	0.631987
1477010468349642	63.4335	23.4301	2.67884	0.181163	-0.165674	radar	2.27371	63.7478	23.7442	63.5955	23.4479	2.43482	0.631987
1477010469349642	66.2991	23.9817	3.2442	0.20164	-0.0152544	lidar	1.02179	66.3403	23.9959	66.0431	24.0276	2.37349	0.508655
1477010469349642	66.1686	23.9347	2.60142	0.15352	-0.0814094	radar	3.83782	65.8838	23.9541	66.0431	24.0276	2.37349	0.508655
1477010470349642	68.2842	24.3576	2.28302	0.184174	-0.00281697	lidar	0.29827	68.262	24.3582	68.4273	24.4824	2.30293	0.385623
1477010470349642	68.3763	24.3909	2.50796	0.206028	0.0210751	radar	1.9637	68.6759	24.6059	68.4273	24.4824	2.30293	0.385623
1477010471349642	70.8116	24.8803	2.73001	0.217015	0.0152772	lidar	0.134414	70.8275	24.8844	70.7384	24.8137	2.22347	0.265395
1477010471349642	70.7575	24.8579	2.41305	0.198454	-0.0149007	radar	0.807037	70.7403	24.6728	70.7384	24.8137	2.22347	0.265395
1477010472349642	72.9062	24.7314	2.20973	-0.148571	-0.259342	lidar	0.468236	72.8923	24.7135	72.9675	25.025	2.13584	0.150292
1477010472349642	72.9573	24.7543	2.33667	-0.128291	-0.231119	radar	0.642728	73.0732	25.0343	72.9675	25.025	2.13584	0.150292
